account_id,customer_id,account_type,account_number_masked,currency,current_balance,available_balance,status,lock_reason,opened_date,last_activity_date,interest_rate_pct,overdraft_limit,daily_transfer_limit,notes
ACC-100001,CUST-B001,CHECKING,****4521,USD,5234.50,5234.50,ACTIVE,,2018-03-20,2026-03-15,0.05,500.00,5000.00,Primary checking account
ACC-100002,CUST-B001,SAVINGS,****7893,USD,12800.00,12800.00,ACTIVE,,2018-03-20,2026-02-28,2.50,0.00,1000.00,High-yield savings account
ACC-100003,CUST-B002,CHECKING,****2341,USD,28450.00,28450.00,ACTIVE,,2015-07-10,2026-03-16,0.05,2000.00,25000.00,Primary checking account
ACC-100004,CUST-B002,SAVINGS,****6789,USD,85000.00,85000.00,ACTIVE,,2015-07-10,2026-02-28,3.00,0.00,5000.00,High-yield savings account
ACC-100005,CUST-B002,MONEY_MARKET,****3312,USD,125000.00,125000.00,ACTIVE,,2020-06-01,2026-02-20,4.25,0.00,10000.00,Money market account
ACC-100006,CUST-B003,CHECKING,****8844,USD,1234.56,0.00,LOCKED,FRAUD_ALERT,2020-01-15,2026-03-12,0.05,0.00,0.00,Locked on 2026-03-12 after two unauthorized international transactions detected. Fraud investigation CASE-2026-0001 open.
ACC-100007,CUST-B003,SAVINGS,****5521,USD,3500.00,3500.00,ACTIVE,,2020-01-15,2026-02-10,2.50,0.00,500.00,Savings account — unaffected by checking lock
ACC-100008,CUST-B004,CHECKING,****9901,USD,45678.90,45678.90,ACTIVE,,2012-05-08,2026-03-16,0.05,5000.00,50000.00,Business checking account
ACC-100009,CUST-B004,SAVINGS,****4432,USD,120000.00,120000.00,ACTIVE,,2012-05-08,2026-02-28,3.00,0.00,10000.00,Business savings reserve
ACC-100010,CUST-B005,CHECKING,****1122,USD,8900.00,8900.00,ACTIVE,,2017-02-28,2026-03-15,0.05,1000.00,10000.00,Primary checking account
ACC-100011,CUST-B005,SAVINGS,****3344,USD,42000.00,42000.00,ACTIVE,,2017-02-28,2026-03-07,3.00,0.00,2000.00,Emergency fund — auto-transfer $500/month from checking
ACC-100012,CUST-B006,CHECKING,****6677,USD,2100.00,2100.00,ACTIVE,,2021-08-12,2026-03-15,0.05,200.00,3000.00,Primary checking account
ACC-100013,CUST-B007,CHECKING,****9988,USD,890.00,0.00,FROZEN,SUSPICIOUS_ACTIVITY,2019-11-03,2026-03-10,0.05,0.00,0.00,Frozen on 2026-03-10 after 5 consecutive failed login attempts. Security hold pending identity verification. Case CASE-2026-0002.
ACC-100014,CUST-B007,SAVINGS,****2211,USD,5600.00,5600.00,ACTIVE,,2019-11-03,2026-02-20,2.50,0.00,500.00,Savings account — unaffected by checking freeze
