tracking_id,declaration_id,customer_id,importer_name,hs_code,product_description,country_of_origin,port_of_entry,broker_name,quantity,quantity_unit,declared_value_usd,duty_rate_pct,duty_assessed_usd,duty_paid_usd,status,location,last_updated,estimated_clearance_date,actual_clearance_date,inspection_type,hold_reason,officer_id,notes
TRK-2024-08812,INV-2024-00456,CUST-0001,ABC Trading UK Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,FastClear Logistics,10000,pcs,8502.00,12.0,1020.24,0.00,UNDER_EXAMINATION,Felixstowe — Shed 4 Bay 12,2024-03-15,2024-03-18,,PHYSICAL,,OFF-0042,Physical examination requested by targeting team. Awaiting examination slot allocation.
TRK-2024-08901,INV-2024-00512,CUST-0002,Marks & Spencer Sourcing Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,Panalpina UK,10000,pcs,32480.00,0.0,0.00,0.00,CLEARED,Released to freight forwarder,2024-03-18,2024-03-18,2024-03-18,NONE,,OFF-0019,GSP preferential rate applied. REX statement verified. AEO fast-track.
TRK-2024-08734,SUSP-2024-CLASS-001,CUST-0003,Denim Discount UK Ltd,6113.00,Industrial workwear trousers (declared),Bangladesh,Felixstowe,FastClear Logistics,10000,pcs,28656.00,6.5,1862.64,0.00,HELD,Felixstowe — Examination Bay 7,2024-02-02,,,PHYSICAL,HS code misclassification suspected — goods may be fashion jeans (6203.42 12% duty). Pending physical examination.,OFF-0031,Duty gap if reclassified to 6203.42: additional USD 1578.08. Formal valuation query raised.
TRK-2024-08650,LEGIT-2024-5007,CUST-0002,Marks & Spencer Sourcing Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Felixstowe,Panalpina UK,10000,pcs,32000.00,0.0,0.00,0.00,CLEARED,Released to freight forwarder,2024-03-19,2024-03-19,2024-03-19,DOC_CHECK,,OFF-0019,Form A verified. AEO clearance.
TRK-2024-08599,LEGIT-2024-5024,CUST-0004,UK Electronics Ltd,8471.30,Laptop computers,China,Heathrow,DHL Trade Customs,500,units,217500.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-03-13,2024-03-13,2024-03-13,DOC_CHECK,,OFF-0005,Deferred duty account. Duty deferred to month-end statement.
TRK-2024-08544,LEGIT-2024-5026,CUST-0004,UK Electronics Ltd,8517.12,Smartphones,China,Heathrow,DHL Trade Customs,1000,units,190000.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-03-09,2024-03-09,2024-03-09,NONE,,OFF-0037,Standard clearance. No duty on qualifying smartphones under UK Global Tariff.
TRK-2024-08488,LEGIT-2024-5028,CUST-0013,B&Q Sourcing Ltd,9403.60,Wooden furniture,China,Felixstowe,DB Schenker UK,1000,units,92000.00,0.0,4600.00,4600.00,CLEARED,Released to importer,2024-03-05,2024-03-05,2024-03-05,DOC_CHECK,,OFF-0045,Duty paid on import. Clearance completed.
TRK-2024-08401,LEGIT-2024-5030,CUST-0010,Next UK Sourcing,6110.20,Cotton jerseys,Bangladesh,Tilbury,DB Schenker UK,10000,pcs,54500.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-03-01,2024-03-01,2024-03-01,DOC_CHECK,,OFF-0034,REX statement verified.
TRK-2024-08355,LEGIT-2024-5032,CUST-0008,Sports Direct International,6211.42,Cotton jackets,China,Felixstowe,DB Schenker UK,10000,pcs,128000.00,12.0,15360.00,15360.00,CLEARED,Released to importer,2024-02-24,2024-02-24,2024-02-24,DOC_CHECK,,OFF-0025,Duty paid. No preferential origin applicable for China.
TRK-2024-08299,LEGIT-2024-5034,CUST-0018,ASOS Sourcing Ltd,6204.62,Women's cotton trousers,Bangladesh,Felixstowe,FastClear Logistics,10000,pcs,73000.00,12.0,8760.00,8760.00,CLEARED,Released to importer,2024-02-20,2024-02-20,2024-02-20,DOC_CHECK,,OFF-0042,Duty paid. Form A verified.
TRK-2024-08244,SUSP-2024-1004,CUST-0003,Denim Discount UK Ltd,6203.42,Men's cotton jeans (reclassified from 6113),Bangladesh,Felixstowe,FastClear Logistics,10000,pcs,28000.00,12.0,3360.00,1820.00,UNDER_APPEAL,Felixstowe — Customs Office,2024-02-05,,, DOC_CHECK,Importer appealing duty assessment. Post-reclassification duty demand issued. Partial payment received.,OFF-0042,Original declaration at 6.5% (6113). Reclassified to 12% (6203.42). Additional duty demand: USD 1540.
TRK-2024-08188,LEGIT-2024-5007B,CUST-0007,Primark Sourcing Ltd,6109.10,Men's cotton T-shirts,Bangladesh,Southampton,Panalpina UK,50000,pcs,160000.00,0.0,0.00,0.00,CLEARED,Released to importer,2024-02-19,2024-02-19,2024-02-19,NONE,,OFF-0012,AEO certified importer. Expedited clearance.
TRK-2024-08133,LEGIT-2024-5039,CUST-0016,Yorkshire Fashion Ltd,6109.10,Men's cotton T-shirts,India,Felixstowe,GoodBroker Freight Ltd,10000,pcs,33500.00,12.0,4020.00,4020.00,CLEARED,Released to importer,2024-02-06,2024-02-06,2024-02-06,DOC_CHECK,,OFF-0032,No GSP applicable for India under UK-DCTS at this HS code. MFN rate applied and paid.
